name	type	units	sampling_frequency
AG001	MEGGRADAXIAL	T	5000
AG002	MEGGRADAXIAL	T	5000
AG003	MEGGRADAXIAL	T	5000
AG004	MEGGRADAXIAL	T	5000
AG005	MEGGRADAXIAL	T	5000
AG006	MEGGRADAXIAL	T	5000
AG007	MEGGRADAXIAL	T	5000
AG008	MEGGRADAXIAL	T	5000
AG009	MEGGRADAXIAL	T	5000
AG010	MEGGRADAXIAL	T	5000
AG011	MEGGRADAXIAL	T	5000
AG012	MEGGRADAXIAL	T	5000
AG013	MEGGRADAXIAL	T	5000
AG014	MEGGRADAXIAL	T	5000
AG015	MEGGRADAXIAL	T	5000
AG016	MEGGRADAXIAL	T	5000
AG017	MEGGRADAXIAL	T	5000
AG018	MEGGRADAXIAL	T	5000
AG019	MEGGRADAXIAL	T	5000
AG020	MEGGRADAXIAL	T	5000
AG021	MEGGRADAXIAL	T	5000
AG022	MEGGRADAXIAL	T	5000
AG023	MEGGRADAXIAL	T	5000
AG024	MEGGRADAXIAL	T	5000
AG025	MEGGRADAXIAL	T	5000
AG026	MEGGRADAXIAL	T	5000
AG027	MEGGRADAXIAL	T	5000
AG028	MEGGRADAXIAL	T	5000
AG029	MEGGRADAXIAL	T	5000
AG030	MEGGRADAXIAL	T	5000
AG031	MEGGRADAXIAL	T	5000
AG032	MEGGRADAXIAL	T	5000
AG033	MEGGRADAXIAL	T	5000
AG034	MEGGRADAXIAL	T	5000
AG035	MEGGRADAXIAL	T	5000
AG036	MEGGRADAXIAL	T	5000
AG037	MEGGRADAXIAL	T	5000
AG038	MEGGRADAXIAL	T	5000
AG039	MEGGRADAXIAL	T	5000
AG040	MEGGRADAXIAL	T	5000
AG041	MEGGRADAXIAL	T	5000
AG042	MEGGRADAXIAL	T	5000
AG043	MEGGRADAXIAL	T	5000
AG044	MEGGRADAXIAL	T	5000
AG045	MEGGRADAXIAL	T	5000
AG046	MEGGRADAXIAL	T	5000
AG047	MEGGRADAXIAL	T	5000
AG048	MEGGRADAXIAL	T	5000
